Ship (all names),Ship,col_lat,col_long,occurrence,Locations (freq.)
"Abigail (or Abbigall, Abigaile, Abigall)",Abigail,37.0557028,-76.5185625,1,Blunt Point (1)
Ann,Ann,41.845,-70.7387,3,Plymouth (3)
Blessing (or Blessinge),Blessing,37.209167,-76.7775,5,Jamestown (5)
Bona Nova (or bona Nova),Bona Nova,41.845,-70.7387,3,Plymouth (3)
Deliverance (or Delivance),Deliverance,37.115278,-76.590278,3,Mulberry Island (3)
Discovery (or Discoverie),Discovery,37.115278,-76.590278,3,Mulberry Island (3)
Ellinor (or Ellonor),Ellinor,41.845,-70.7387,3,Plymouth (3)
"Elizabeth (or Elsabeth, Elzabeth)",Elizabeth,37.000556,-76.311389,4,Point Comfort (4)
"Flying Hart or Flying Horse (of Flushing) (or Flying Harte, fflyinge Harte, fflyinge Hart, flyinge Hart, flyinge hart)",Flying Hart/Horse,37.209167,-76.7775,5,Jamestown (5)
George (or Georg),George,37.000556,-76.311389,4,Point Comfort (4)
Hercules,Hercules,37.209167,-76.7775,5,Jamestown (5)
"John and Francis (or John & Francis, John and ffrancis)",John and Francis,37.209167,-76.7775,5,Jamestown (5)
Margaret (or Margrett),Margaret,37.014444,-76.346389,1,Kecoughtan (1)
Patience,Patience,37.115278,-76.590278,3,Mulberry Island (3)
Phoenix,Phoenix,37.209167,-76.7775,5,Jamestown (5)
Prosperous (or Prosporouse),Prosperous,37.000556,-76.311389,4,Point Comfort (4)
Providence (or providence),Providence,37.070833,-76.484444,1,New Port Newce (1)
Sampson,Sampson,37.257528,-76.993389,1,Martin's Brandon (1)
Supply (or Suply),Supply,37.321667,-77.181667,1,Berkeley (1)
Swallow (or Swallowe),Swallow,37.412,-76.649,1,Werowoeomoco (1)
"Treasurer (or Treasorer, Treasoror, Treasuror, Tresoror)",Treasurer,37.000556,-76.311389,4,Point Comfort (4)